chain_name;wallet_address;transaction_type;transaction_status;sent_amount;transaction_url;date;error
Polygon;0x1364aa030fF4F4a683B8E07471b70b4627d03476;SELF-transaction;SUCCESS;0.000779591836734694;https://mumbai.polygonscan.com/tx/0x44d47ca837e5a7b31a08e6966941df219d039d857831004e78d72049c2341a9a;14-11-2023;-
Binance Smart Chain;0x3309821aa89b1D42fe8EACff2FA56CC8c5FA06FE;RANDOM-transaction;SUCCESS;0.00033877551020408165;https://testnet.bscscan.com/tx/0x1467806704005d6d56aa5fae28ab0ea15f1868302656da2e49c34a9d9d9a8ecd;14-11-2023;-
Binance Smart Chain;0xdf24026b19c60fCF9cD6145c237BD140EFe9f390;SELF-transaction;SUCCESS;0.00039387755102040817;https://testnet.bscscan.com/tx/0xb01661ee3211ec13a23ba2d554cc73e0b67d430ce33b0155ec1ac3edb0f0d6d0;14-11-2023;-
Polygon;0x1364aa030fF4F4a683B8E07471b70b4627d03476;RANDOM-transaction;SUCCESS;0.00022857142857142857;https://mumbai.polygonscan.com/tx/0xa9095e00ac9100306e7f07c314af57084e91ca5f5a825cf4147f8bfc297cdf1d;14-11-2023;-
Binance Smart Chain;0x3309821aa89b1D42fe8EACff2FA56CC8c5FA06FE;SELF-transaction;SUCCESS;0.00013673469387755102;https://testnet.bscscan.com/tx/0x721c923fcedc293ade9123221a66b61bcbe83318ac2f9fc7229f3e8ab0973107;14-11-2023;-
Binance Smart Chain;0xdf24026b19c60fCF9cD6145c237BD140EFe9f390;RANDOM-transaction;SUCCESS;0.00017346938775510205;https://testnet.bscscan.com/tx/0xbbce313a4bde40ce918e883e4ba9f00bc4a95d43e97be0c0234eaa3d6e59f292;14-11-2023;-
Binance Smart Chain;0x3309821aa89b1D42fe8EACff2FA56CC8c5FA06FE;RANDOM-transaction;SUCCESS;0.0005591836734693878;https://testnet.bscscan.com/tx/0x45bd7d86110f2f6e6143aa325b1c38a8baf27542112722b6abaf05ed1ad9b5d6;14-11-2023;-
Polygon;0xdf24026b19c60fCF9cD6145c237BD140EFe9f390;RANDOM-transaction;SUCCESS;0.0004489795918367347;https://mumbai.polygonscan.com/tx/0x84503f357441ed0f2ceae5c22d1579387f2be403d23ed0493d6e12c073c968e3;14-11-2023;-
Polygon;0x3309821aa89b1D42fe8EACff2FA56CC8c5FA06FE;RANDOM-transaction;SUCCESS;0.0008346938775510205;https://mumbai.polygonscan.com/tx/0x6c947f44ac5b6444729919b5cf91a02b46463ef356beba3c5ff3d797132be6ef;14-11-2023;-
Polygon;0xdf24026b19c60fCF9cD6145c237BD140EFe9f390;SELF-transaction;SUCCESS;0.0009816326530612245;https://mumbai.polygonscan.com/tx/0x193db8a8962caaefddaa2c6899bb35f04450e5ac8e5cf726995b50fe3565274b;14-11-2023;-
Polygon;0x3309821aa89b1D42fe8EACff2FA56CC8c5FA06FE;RANDOM-transaction;ERROR;0.0007061224489795919;-;14-11-2023;{'code': -32000, 'message': 'ALREADY_EXISTS: already known'}
Polygon;0xdf24026b19c60fCF9cD6145c237BD140EFe9f390;SELF-transaction;SUCCESS;0.000963265306122449;https://mumbai.polygonscan.com/tx/0xcec0c470ed0c5bb190a30f9649152e3ee63c875f49c16241173ce43d572d3030;14-11-2023;-
Polygon;0x3309821aa89b1D42fe8EACff2FA56CC8c5FA06FE;SELF-transaction;SUCCESS;0.0009816326530612245;https://mumbai.polygonscan.com/tx/0x9aa5413dfb7b314c47c0402df9c1f08d8d7bd294bb192bcea9395185ae4960dc;14-11-2023;-
Polygon;0x3309821aa89b1D42fe8EACff2FA56CC8c5FA06FE;SELF-transaction;SUCCESS;0.0004857142857142857;https://mumbai.polygonscan.com/tx/0x52dc01eeb520941c55afa79a1472902c9c3d409057a52795acd0735848d1d469;14-11-2023;-
Polygon;0xdf24026b19c60fCF9cD6145c237BD140EFe9f390;SELF-transaction;ERROR;0.0006510204081632654;-;14-11-2023;{'code': -32000, 'message': 'ALREADY_EXISTS: already known'}
Polygon;0xdf24026b19c60fCF9cD6145c237BD140EFe9f390;SELF-transaction;SUCCESS;0.0005040816326530613;https://mumbai.polygonscan.com/tx/0xa4310699faa35d625becb6a8881a56e4c2353e14f4bb021e90e71c87078a20db;14-11-2023;-
Polygon;0x3309821aa89b1D42fe8EACff2FA56CC8c5FA06FE;SELF-transaction;SUCCESS;0.0006693877551020409;https://mumbai.polygonscan.com/tx/0xc8a0a2ced8cb83b147623a29bc8b3d9e07ed67b3bb915742360c57094b4f1c78;14-11-2023;-
Polygon;0xdf24026b19c60fCF9cD6145c237BD140EFe9f390;SELF-transaction;SUCCESS;0.000779591836734694;https://mumbai.polygonscan.com/tx/0xff4b313da35d552c1f8b23ee2a36c98668a6cd8075511f5768a192378bdebe4a;14-11-2023;-
Polygon;0x3309821aa89b1D42fe8EACff2FA56CC8c5FA06FE;SELF-transaction;SUCCESS;0.0006142857142857143;https://mumbai.polygonscan.com/tx/0x312aa7ebf88236d05e26718296b0ec4f62f27c30a4a6e67249cb07892a04f559;14-11-2023;-
Polygon;0xdf24026b19c60fCF9cD6145c237BD140EFe9f390;RANDOM-transaction;SUCCESS;0.00022857142857142857;https://mumbai.polygonscan.com/tx/0xb2c620e4446739115fa7b7004ac721a44cf36f8e74ad40cafd353c6b8e165006;14-11-2023;-
Polygon;0x3309821aa89b1D42fe8EACff2FA56CC8c5FA06FE;RANDOM-transaction;SUCCESS;0.0007244897959183674;https://mumbai.polygonscan.com/tx/0xadf91b04b4d3ebb81fa9017c4c104756d36f9fce9f4bb38a059da910d13c2cc5;14-11-2023;-
Polygon;0xdf24026b19c60fCF9cD6145c237BD140EFe9f390;RANDOM-transaction;SUCCESS;0.0004306122448979592;https://mumbai.polygonscan.com/tx/0x580ed1c610d6fce3d5a924c918a8b034e62d6252222f88a915acb660affaae3b;14-11-2023;-
Polygon;0x3309821aa89b1D42fe8EACff2FA56CC8c5FA06FE;SELF-transaction;SUCCESS;0.00021020408163265308;https://mumbai.polygonscan.com/tx/0xeb18c33e78a12d4694c45e7b132ad4987cd7c5ae4c03c6804eef79b481e78d7e;14-11-2023;-
Polygon;0xdf24026b19c60fCF9cD6145c237BD140EFe9f390;RANDOM-transaction;SUCCESS;0.0002653061224489796;https://mumbai.polygonscan.com/tx/0x8ff21c67e16abc220bf87c744b7cc19718478ca387309eef0bd48973dd4b8a97;14-11-2023;-
Polygon;0xdf24026b19c60fCF9cD6145c237BD140EFe9f390;SELF-transaction;SUCCESS;0.0002653061224489796;https://mumbai.polygonscan.com/tx/0xcd6046245e7405a0e958432fd2a4c826c0edc8af46fe0c7970b179886650a6f4;14-11-2023;-
Polygon;0xdf24026b19c60fCF9cD6145c237BD140EFe9f390;SELF-transaction;SUCCESS;0.0004306122448979592;https://mumbai.polygonscan.com/tx/0x632d0085efcf03c42ac7653846d1c8df746befc6c79692f6186531bf2d64d34f;14-11-2023;-
